Código;Nombre;Fabricante;Modelo;Número de Serial;Patente;Tipo;Clasificación 1;Clasificación 2;Ubicado en ó es Parte de;Formulario Personalizado
GRTR-0011;GRUA TORRE;LIEBHERR;280 EC-H-16;43835;N/A;GRUAS TORRES;GRÚAS FIJAS;2004;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
GRTR-0012;GRUA TORRE;LEBHERR;280 EC-H-16;47596;N/A;GRUAS TORRES;GRÚAS FIJAS;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
GRTR-0013;GRUA TORRE;LIEBHERR;250EC-B-12;45320;N/A;GRUAS TORRES;GRÚAS FIJAS;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
GRTR-0014;GRUA TORRE;LIEBHERR;1000 EC-H40;52074;;GRUAS TORRES;GRÚAS FIJAS;2014;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
HIEL-0008;WINCHE ELECTRICO;PROWINCH ;PWK12600i;K457032020;;WINCHE ELECTRICO;EQUIPOS MENORES;2020;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
HIEL-0009;WINCHE ELECTRICO;PROWINCH;PWK12600i;K456032020;;WINCHE ELECTRICO;EQUIPOS MENORES;2020;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
HIEL-0010;WINCHE ELECTRICO;PROWINCH;PWG23700;G006032020;;WINCHE ELECTRICO;EQUIPOS MENORES;2020;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
HIEL-0011;WINCHE ELECTRICO;PROWINCH;PWG23700;G007032020;;WINCHE ELECTRICO;EQUIPOS MENORES;2020;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
MBUS-0010;MINI BUS;MERCEDES BENZ;SPRINTER 516 CD1 AÑO 2020;W1V907657LP198364;LTJH-53;MINIBUSES;VEHÍCULOS MENORES;2020;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
MBUS-0011;MINI BUS;MERCEDES BENZ;SPRINTER 516 CD1 AÑO 2020;W1V907657LP198366 ;LTJH-51;MINIBUSES;VEHÍCULOS MENORES;2020;// GRUPO EMI/ CC-0003 - CALAMA/ ;OPERATIVO - EN USO
MBUS-0013;MINI BUS;MERCEDES BENZ;SPRINTER 517 CDI;W1V907657SP811209;VGHR-90-2;MINIBUSES;VEHÍCULOS MENORES;2025;// GRUPO EMI/ CC-0406 CONSTRUCCION DEFENSAS FLUVIALES/ ;OPERATIVO - EN USO
MBUS-0014;MINI BUS;MERCEDES BENZ;SPRINTER 517 CDI;W1V907657SP814387;VGHR-63-5;MINIBUSES;VEHÍCULOS MENORES;2025;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
MBUS-0015;MINI BUS;MERCEDES BENZ;SPRINTER 517 CDI;W1V907657SP814867;VGHR-78-3;MINIBUSES;VEHÍCULOS MENORES;2025;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
MBUS-0016;MINI BUS;MERCEDES BENZ;SPRINTER 517 CDI;W1V907657SP813126;VGHR-81-3;MINIBUSES;VEHÍCULOS MENORES;2025;// GRUPO EMI/ CC-0406 CONSTRUCCION DEFENSAS FLUVIALES/ ;OPERATIVO - EN USO
MBUS-0017;MINI BUS;MERCEDES BENZ;SPRINTER 517 CDI - 19+1 4X4;W1V907657SP813603;VTHH-63;MINIBUSES;VEHÍCULOS MENORES;2026;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
